Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
BHARGAVI DADITHOTHA,1,0,1
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING,15,8,7
TARA GOVERNMENT DEGREE COLLEGE,1,0,1
"SRM INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI",1,1,0
RGM COLLEGE OF ENGINEERING AND Y,1,0,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS,1,0,1
JNTR - JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,71,21,50
RGMCET,12,1,11
,27,10,17
JNTU COLLEGE OF ENGINNERING JAGITAL,25,15,10
RGM COLLEGE,1,1,0
RGM COLLAGE OF ENGINEERING AND TECHNOLOGY,1,0,1
NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,10,4,6
KITW - KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,36,7,29
SRINIVASA CHEYYRU,1,0,1
USMANIA UNIVERSITY,1,1,0
SRINIVASA INSTITUTE ENGINEERING AND TECHNOLOGY,1,0,1
RGMCET ENGINEERING,1,0,1
KLU,2,1,1
REKHA SAKIPALLI,1,0,1
M.V.S.R ENGINEERING COLLEGE,2,0,2
GD GOENKA UNIVERSITY,68,15,53
RGM COLLAGE OF ENGINEERING,1,0,1
SRINIVAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,2,0,2
SRINIVASA INSTITUTE OF ENGINEERING TECHNOLOGY TECHNOLOGY,1,0,1
SRINIVASA ENGINEERING AND TECHNOLOGY,1,0,1
VIGANAN BHARATHI INSTITUTE OF TECHNOLOGY,1,1,0
VBEC - VIGNANA BHARATHI ENGINEERING COLLEGE,12,9,3
VAADGAVI ENGENEERING COLLEGE,1,0,1
VIGNANA BHARATHI INSTITUTION OF TECHNOLOGY,4,1,3
KLEF,1,1,0
NEAR POLMON COMPANY,1,1,0
VARDHMAAN COLLEGE OF ENGINEERING,1,0,1
MOTIONCUT,1,1,0
OU,7,2,5
VIT BHOPAL,1,0,1
RGM COLLEGE OF ENGINEERING,1,0,1
NAWB - NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,40,12,28
NSAKCET,1,0,1
NIT - Warangal,1,0,1
"UNIVERSITY COLLEGE OF MANAGEMENT HYDERABAD, JNTUH",1,1,0
GOVERNMENT JUNIOR COLLEGE,1,0,1
SRINIVASA INSTITUTE OF ENGENEERING AND TECHNOLOGY,1,0,1
VIGANA BHARTI INSTITUTE OF TECHNOLOGY,1,1,0
BADDAM BALREDDY BUSINESS SCHOOL,1,0,1
BHAVANS VIVEKANANDA COLLEGE,1,1,0
STIDEVI WOMEN’S ENGINEERING COLLEGE,1,0,1
ST MARY'S ENGINEERING COLLEGE,16,1,15
VARDHMAN COLLEGE OF ENGINEERING,3,0,3
SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLEDGE,1,0,1
SIIET,1,0,1
SMCD - ST MARYS ENGINEERING COLLEGE,6,0,6
ST MARY'S ENGENEERING COLLEGE,2,1,1
ST .MARY'S ENGINNERING COLLEGE,1,0,1
ST.MARY'S ENGINEERING COLLEGE,3,1,2
ST.MARY'S ENGEENERING COLLEGE,1,0,1
RGM,1,0,1
ST. MARY'S GROUP OF INSTITUTION HYDERABAD,1,0,1
ST.MARRYS ENGINEERING COLLEGE,1,0,1
VAAGDEVIENGEERINGCOLLEGE,1,0,1
"CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY, KANPUR",1,1,0
ST.MARY ENGINEERING COLLEGE,1,0,1
INDUS UNIVERSITY,1,1,0
F. C. RODRIGUES INSTITUTE OF TECHNOLOGY,1,1,0
SRIW - SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,5,1,4
ST MARY’S ENGINEERING COLLAGE,1,0,1
KIIT UNIVERSITY,1,0,1
VAAGDEVI ENGENEERING COLLEGE,1,0,1
ITM SLS BARODA UNIVERSITY,1,1,0
M.V.S.R,1,0,1
KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY,2,0,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES , BASAR",3,2,1
MGHA - MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,2,2,0
OU UNIVERSITY,1,0,1
K.S.RIET,1,0,1
GURU TEGH BAHADUR 4TH CENTENARY ENGINEERING COLLEGE,1,0,1
INDIAN INSTITUTE OF TECHNOLOGY (INDIAN SCHOOL OF MINES )DHANBAD,1,1,0
KL UNIVERSITY AZIZNAGAR HYDERABAD,1,0,1
NALLA REDDY ENGINEERING COLLEGE,1,0,1
VIGNANA BARATHI INSTITUTE OF TECHNOLOGY,1,0,1
VIGANA BHARATHI INSTITUTION OF TECHNOLOGY,1,0,1
AL AMEEN ENGINEERING COLLEGE,1,0,1
ST MARY ENGINEERING COLLEGE,1,0,1
ST MARY'S COLLEGE,1,0,1
BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
VIDHYA JYOTHI INSTITUTE OF TECHNOLOGY,6,2,4
VJIY,1,0,1
LITTLE FLOWER DEGREE COLLEGE,3,1,2
JSJSJE,1,0,1
KONNER LAKSHMAIAH UNIVERSITY,1,0,1
VIDHYA JYOTHI INSTITUTE OF TECHNOLOGY (COLLEGE),1,0,1
K S R COLLEGE FOR ENGINEERING AND TECHNOLOGY,1,0,1
SRINIVASA INSTITUTE OF ENGINEERING & TECHNOLO,1,0,1
GOLLA SAI KUMAR,1,0,1
VIDHYA JYOTI INSTITUTE OF TECHNOLOGY,1,0,1
MICROSOFT,1,0,1
v,1,1,0
GIOE,2,2,0
"SRI VENKATESWARA COLLEGE OF ENGINEERING,KADAPA",1,0,1
ADDANKI VAISHNAVI,1,0,1
CME COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
KONERU LAKSHMAIAH EDUCATION FOUNDATION BACHUPALLY,1,1,0
LIKHITHA JUJJUWARAPU,1,1,0
"GOVT POLYTECHNIC COLLEGE, MASAB TANK",1,0,1
E,1,0,1
YAMINI POTHANA,1,0,1
SANJEEV DEGREE COLLEGE,1,0,1
SR GEC,1,0,1
BANASTHALI VIDHYAPITH,1,1,0
SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,60,15,45
VIGNAN INSTITUTES OF TECHNOLOGY AND SCIENCE,1,0,1
ONLINE CHANDIGARH UNIVERSITY,1,0,1
TSWRDC W KARIMNAGAR,1,0,1
KORRA RAHUL,1,1,0
RAJEEV GANDHI MEMORIAL ENGINEERING COLLEGE,2,0,2
HYNDHAVI,1,0,1
ECE,1,0,1
EVERNORTH HEALTH SERVICES,1,0,1
DRKC - D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
R,1,0,1
SRI CHAITANYA JR COLLEGE,2,0,2
RAJEEV GANDHI MEMORIAL INSTITUTE OF TECHNOLOGY AND ENGINEERING,1,1,0
MVGR,9,2,7
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),3,0,3
MVGR COLLEGE,2,1,1
MAHARAJ VIJAYRAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (A),1,1,0
RADHAKRISHNAMATTA5757@GMAIL.COM,1,1,0
M.V.G.R COLLEGE OF ENGINEERING,1,1,0
MVGR COLLEGE OF ENGINEERING (A),1,1,0
MAHARAJ VIJAY RAM GANAPATHI RAJ COLLEGE OF ENGINEERING,1,0,1
DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,5,0,5
ASHOKA WOMEN'S ENGINEERING COLLEGE,3,0,3
DONT HAVE SUCH,1,0,1
CRRAO INSTITUTE,1,0,1
SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLOGY CHEYYERU-AMALAPURAM,1,0,1
MVGR ENGINEERING COLLEGE,1,0,1
WESL - CSI WESLEY INST OF TECHNOLOGY AND SCIENCES,6,5,1
HERITAGE INSTITUTE OF TECHNOLOGY,1,1,0
UNIVERSITY COLLEGE OF SCIENCE,2,0,2
VIGNANA BHARTHI INSTITUTE OF TECHNOLOGY,3,2,1
NIMRA ENGINEERING AND TECHNOLOGY,1,1,0
LEARNING DESTINY,1,0,1
RAJEEV GHANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
TEGALLA KRISHNA REDDY COLLEGE,1,1,0
"MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING , VIZIANAGARAM",1,0,1
AUTONOMOUS,2,1,1
ALML,1,1,0
DR.HARI SINGH GOUR UNIVERSITY,1,0,1
NAZAR SHAH ALAM KHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
"UNIVERSITY COLLEGE OF SCIENCES, SAIFABAD (OU)",2,0,2
UNIVERSITY COLLEGE OF SCIENCE SAIFABAD (OU),1,0,1
SMED - ST MARYS GROUP OF INSTITUTIONS,1,0,1
THEEGALA KRISHNA REDDY ENGINEERING COLLEGE,1,0,1
OSMANIA UNIVERSE,1,0,1
NAGARJUNA UNIVERSITY,1,0,1
"GOVERNMENT DEGREE COLLEGE OF WOMEN'S, BEGUMPET",1,0,1
CHATRAPATHI INSTITUTE OF TECHNOLOGY AND ENGINEERING,1,1,0
GANDHIJI INSTITUTE OF SCIENCE AND TECHNOLOGY,2,0,2
RGUKT IIIT NUZVID,1,1,0
RAJIV GANDHI INSTITUTE OF TECHNOLOGIES NUZVID,1,0,1
"RGUKT, NUZVID",1,1,0
NIT ROURKELA,1,0,1
CIET,2,0,2
NATIONAL INSTITUTE OF TECHNOLOGY DELHI,2,1,1
B TECH,3,0,3
SAGI RAMA KRISHNAM RAJU ENGINEERING AFFILIATED JNTUK,1,1,0
RGUKT NUZIVID,1,0,1
AURORA HIGHER EDUCATION AND RESEARCH ACADEMY,1,0,1
IIIT RGUKT NUZVID,1,0,1
"ANDHRA MAHILA SABHA ARTS AND SCIENCE COLLEGE, OSMANIA UNIVERSITY",1,1,0
UNIVERSITY,5,2,3
PRAGATHI DEGREE COLLEGE,2,1,1
AICTE AFFILIATED,1,0,1
GOVT MAHILA ENGINEERING COLLEGE AJMER,1,0,1
VIGNAN JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
AKBAR PEERBHOY COLLEGE OF COMMERCE AND ECONOMICS,1,0,1
AL,1,0,1
SIET,1,0,1
SRINIVASA INSTITUTION OF ENGINEERING AND TECHNOLOGY,1,0,1
ST MARY'S ENGINEERING COLLEGE DESMUKI HYDERABAD,1,0,1
SIDDHARTHA DEGREE AND PG COLLEGE,1,1,0
VIGANA BHARATHI INSTITUTE OF TECHNOLOGY,3,1,2
VIGNANABHARATHI INSTITUTE OF TECHNOLOGY,1,0,1
VIGNANA BHARATHI INSTUTE OF TECHNOLOGY,1,0,1
UNIVERSITY COLLEGE OF SCIENCE (SAIFABAD),3,1,2
TCTK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,21,7,14
INNOVAPATH IT SOLUTIONS,1,0,1
VIGNAN BHARTI INSTITUTE OF TECHNOLOGY,1,1,0
FRESHER,1,1,0
K.R.MANGALAM UNIVERSITY,1,0,1
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY CHIRALA,6,1,5
ST ANN'S ENGINEERING COLLEGE,1,0,1
APOLLO INSTITUTE OF AGRICULTURE AND RESEARCH,1,0,1
ST ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
ST. ANN'S COLLEGE OF ENGINEERING & TECHNOLOGY,2,0,2
MAHATMA GANDHI UNIVERSITY,7,1,6
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,3,0,3
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY,5,0,5
ST.ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY,4,1,3
SACET STUDENT,1,0,1
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY NALGONDA,2,1,1
"MAHATMA GANDHI UNIVERSITY, NALGONDA",4,1,3
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATAMA GANDHI UNIVERSITY,1,0,1
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATAMA GANDHI UNIVERSITY NALGONDA,1,0,1
JITS,1,0,1
MGUNSF - MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,10,1,9
MAHATMA GANDHI UNIVERSITY NALGONDA,2,0,2
M.V.G.R. COLLEGE OF ENGINEERING,1,0,1
MAHATMA GANDHI UNIVERSITY NALGONDA TELANGANA,1,0,1
MAHARAJ VIJAYRAM GAJAPATHI RAJ COLLEGE,1,1,0
MAHATMA GANDHI UIVERSITY-NALGONDA,1,0,1
MVGRCE,2,1,1
MVGR COLLEGE OF ENGINEERING VIZIANAGARAM,1,0,1
MVGR COLLEGE OF ENGINEERING(A),1,0,1
JADAVPUR UNIVERSITY,1,0,1
M V G R COLLEGE OF ENGINEERING,1,1,0
BCRIT,1,0,1
MALINENI SUSEELAMMA WOMEN'S ENGINEERING,1,0,1
"NARAYANA ENGINEERING COLLEGE, GUDUR",1,1,0
SAI UNIVERSITY,1,0,1
VIGNAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN KONDAPUR,1,0,1
MALLINENI SUSELAMMA WOMEN'S ENGINEERING COLLEGE,1,0,1
VIGNAN BHARTHI INSTITUTE OF TECHNOLOGY,1,0,1
"MAHARAJ VIJAYARAM GAJAPATI RAJ COLLEGE OF ENGINEERING,VIZIANAGARAM",1,1,0
NAAC,1,0,1
"JSS SCIENCE AND TECHNOLOGY UNIVERSITY, MYSURU",1,1,0
COGNICO,1,1,0
CENTRAL UNIVERSITY OF JAMMU,1,0,1
BABA INSTITUTE OF TECHNOLOGY AND SCIENCES,1,1,0
MPHASIS,1,0,1
NARASIMHA REDDY ENGINEERING COLLEGE,23,7,16
NARASIMHA REDDY ENGENEERING COLLEGE,1,0,1
NARASHIMA REDDY ENGINEERING COLLEGE,1,0,1
ST. JOSEPHS DEGREE & PG COLLEGE,1,1,0
ORGANIZATION,1,0,1
PERSPECTAI,1,0,1
VIGNANABHARATHI INSTITUTION OF TECHNOLOGY,1,1,0
NACC,1,0,1
NARASIMHAREDDY ENGINEERING COLLEGE,2,1,1
SIES GRADUATE SCHOOL OF TECHNOLOGY,1,1,0
PLAKSHA UNIVERSITY,1,0,1
UCET MAHATMA GANDHI UNIVERSITY,1,0,1
NARASIMHA REDDY ENGINERING COLLEGE,1,0,1
NARASIMHAREDDY ENGENEERING COLLEGE,1,0,1
SRI BALAJI UNIVERSITY PUNE,1,0,1
NARASIMHA REDDY ENGINEERING COLLEGES,1,0,1
"SCHOOL OF COMPUTER & INFORMATION SCIENCES, UNIVERSITY OF HYDERABAD.",1,1,0
"MVGR COLLEGE OF ENGINEERING CHINTALAVALASA, VIZIANAGARAM",1,0,1
OSMANIA,3,0,3
RVR & JC COLLEGE OF ENGINEERING,1,0,1
R.V.R & J. C COLLEGE OF ENGINEERING,1,0,1
VAAGDEVI DEGREE AND PG COLLEGE HANUMAKONDA,1,0,1
KL DEEMED TO BE UNIVERSITY,1,1,0
VIGNAN’S INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN,1,0,1
ORABASE SOLUTIONS LLC,1,1,0
RESEARCH SCHOLAR OU,1,0,1
GOVERNMENT INSTITUTE OF ELECTRONICS,6,3,3
UNEMPLOYED,2,0,2
VIGNAN COLLAGE,1,0,1
VIGNAN INSTITUTE OF ENGINEERING AND TECHNOLOGY COLLEGE DHESHMUK,1,0,1
VIGNAN COLLEGE OF TECHNOLOGY AND SCIENCE,1,0,1
PRAGNYA DEGREE COLLEGE,1,0,1
PRAGATHI,1,0,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR,1,1,0
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY,1,1,0
VIGNAN'S INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN,1,0,1
TRR COLLEGE OF TECHNOLOGY POLYTECHNIC,1,1,0
"SRINIVASA RAMANUJAN INSTITUTION OF TECHNOLOGY, BKS MANDAL,ANANTAPUR , ANDHRAPRADESH",1,0,1
SRINIVAS UNIVERSITY,1,1,0
GOVERNMENT POLYTECHNIC BUXAR,1,1,0
VIGYAN BHARATHI INSTITUTE OF TECHNOLOGY,1,0,1
JUST PASSED,1,0,1
PRODIGY SYSTEMS AND SERVICE PRIVATE LIMITED,1,0,1
Narasimha Reddy Engineering,1,1,0
IPS academy Indore RGPV affiliated,1,1,0
Indian institute of technology patna,1,1,0
Singareni collieries polytechnic,1,0,1
Nehru institute of engineering and technology,2,1,1
Srinivasa Ramanujan Institute of Technology,3,1,2
no affiliation,1,0,1
Vasireddy Venkatadri Institute of Technology,1,1,0
Sri Sairam Engineering College,1,0,1
VIGNANA BHARATHI INSTITUTE OF TECNOLOGY,1,0,1
ADIKAVI NANNAYYA UNIVERSITY,2,1,1
Sathyabama Institute of Science and Technology,1,1,0
"Rajiv Gandhi University of knowledge technologies, nuzvid, Andhrapradesh",1,1,0
Vemu Institute of Technology,1,1,0
VIAP,1,0,1
"Vellore Institute of technology, Amaravati",1,1,0
Jaipur National University,1,0,1
Algoleap Technologies Pvt Ltd,1,0,1
Terralogic software solutions Pvt Ltd,1,0,1
Pandit Deendayal Energy University,1,0,1
Simform,1,1,0
Pccoe,1,0,1
Vignana bharathi institution of technology,2,0,2
Techno International Newtown,1,0,1
IIIT HYDERABAD,4,1,3
Army Institute of Technology Pune,1,0,1
VignanaBharathi Institute Of Technology,1,0,1
ACME COLLEGE OF ARTS AND SCIENCE,3,0,3
Tala Padmavathi college of engineering (Autonomous ),1,1,0
AIMS DEGREE COLLEGE,5,0,5
Sanskriti school of engineering,1,1,0
KG college of arts and science,1,0,1
Bcom computers final year osmania university,1,0,1
"Rustamji Institute of Technology (BSF), Gwalior",1,1,0
St.Mary's college,1,0,1
St Mary's centenary degree College,1,0,1
Ushodaya degree college,1,0,1
st Mary's centenary degree college,1,0,1
MIT Manipal,1,0,1
raghu institute of techology,1,0,1
St. Mary's Centenary Degree College,1,0,1
St Paul's degree college,1,1,0
Nishitha Degree College,1,0,1
Nishitha degree and pg college,1,1,0
Nishitha pg college,1,1,0
Nishitha degree college,2,0,2
St Mary's Centenary Degree College,2,0,2
St Paul's degree & pg College,1,1,0
Omega,1,0,1
TCEK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,16,6,10
KL University Hyderabad,1,0,1
MTEC - MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,40,10,30
KKR & KSR Institute of Technology and Sciences,1,0,1
Cbse School,1,0,1
Manipal Institute of Technology Bangalore,1,0,1
St. Joseph’s degree college,1,0,1
V.S.B Engineering College,1,0,1
St.,1,0,1
Maharishi University of information technology,1,1,0
Swarnaandhra College of Engineering and Technology,1,0,1
Wesley degree college for women,3,0,3
Thalla Padmavathi,1,0,1
Rishi ubr women's college,15,2,13
Rishi ubr women's degree College,2,0,2
pragati engineering college afflicted to Jawaharlal Nehru technological University Kakinada,1,0,1
St Mary's centenary Degree college,1,0,1
RISHI UBR WOMENS COLLEGE,5,3,2
ST. MARY'S CENTENARY DEGREE COLLEGE,1,0,1
Wesley degree and pg college for women,1,0,1
Wesley degree college,1,0,1
Rishi UBR Women's College,2,0,2
Rishi UBR women's college,10,0,10
St Mary's Engineering college,1,0,1
Rishi ubr women's degree college,3,0,3
PSG Polytechnic college,1,0,1
Rishi ubr women’s college,2,0,2
"Vellore institute of technology, chennai",1,0,1
Rishi uber women's college,2,0,2
Rishi ubr womens college,3,0,3
Vellore Institute of Technology,2,1,1
Rishi Ubr Womens degree college,1,1,0
Rishi ubr women's clg,1,1,0
Rishi UBR womens college,3,1,2
"Chaudhary Devi Lal University, Sirsa",1,1,0
Osmina university,1,0,1
Jawa,1,0,1
Spectrum institute of management and computer science,1,0,1
RITW - RISHI MS INST OF ENGG AND TECH FOR WOMEN,217,90,127
Rishi M.S.institute of Engineering and technology For women,1,1,0
Rishi women’s,1,0,1
Serole technologies,1,0,1
Kprit coe,1,1,0
Kprit,1,1,0
Kamal Pratap Reddy institution of technology,1,0,1
Banaras Hindu University,1,1,0
KPRIT,4,0,4
Gauhati University,2,0,2
VISWAM AI,1,1,0
St Paul's degree and pg college,1,1,0
Rishi ubr women college,1,0,1
Kaktiya Institute of science and technology for women,1,1,0
Rishi M.S institute of engineering and technology for women,1,1,0
RISHI UBR WOMEN'S COLLEGE,14,2,12
KUWL - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,2,1,1
Tesco,1,0,1
Rishi M.S Institute of Engineering and Technology for Women,1,1,0
Rishi UBR woman's college,1,0,1
Rishi ubr women's college B.COM,1,0,1
RISHI UBR women's college,1,0,1
Rishi UBR women's degree college,2,0,2
Rishi women’s degree college,2,2,0
Rishi women's degree college,1,1,0
Rishi ubr women degree College,1,0,1
Rishiubrwomenscollege,1,0,1
KLU - K L University,1,1,0
Sree venkateswara college of engineering,2,1,1
Rishi UBR women's College,1,0,1
RISHI UBR COLLEGE FOR WOMEN'S,1,0,1
RISHI UBR DEGREE WOMEN'S COLLEGE,1,0,1
RISHI UBR COLLEGE FOR WOMENS,1,0,1
NIT Karnataka,1,0,1
SRM institute of Science and Technology,1,0,1
Vellore institute of technology ap,1,0,1
S R M institute of science and technology,1,0,1
TKM College of Engineering,1,0,1
Psg institute of technology and applied research,1,0,1
Rishi UBR Women's college,1,0,1
Rishi ubr womens collage,1,0,1
mvgr college of engineering,1,1,0
Maharaj vijayaram gajapathi raj college of engineering,1,0,1
St Mary Degree College,1,0,1
UGC autonomous affiliated with JNTUH,1,0,1
MVGRCE- Maharaj Vijayaram Gajapathi Raj College of engineering,1,1,0
MVGR College of Engineering,1,0,1
Maharaj Vijayaram Gajapathi Raj College of Engineering (Autonomous),1,1,0
Maharaj Vijayaram Gajapathi Raj College of Engineering,1,0,1
MVGR college of engineering,1,1,0
maharaj vijayaram gajapathiraj college of engineering,1,1,0
Maharaj Vijayaram Gajapathi Raj college of Engineering,1,1,0
na,1,1,0
"MVGR College of Engineering, JNTUK Affiliated",1,0,1
VRSEC-Velagapudi Ramakrishna Siddartha Engineering College,1,0,1
Maharaj vijayaram gajapathi raj College of engineering,1,0,1
Rishi Ubr Women'S College,5,1,4
Rishi Ubr Women'S,2,0,2
Rishiubr Womens College,1,0,1
Rishi Ubr Women College,1,0,1
Rishi Ubr Womens College,3,0,3
Wesley Degree College For Wowen,1,0,1
R.V.R &J.C College Of Engineering,1,0,1
Maharaj Vijayaram Gajapathi Raj College Of Engineering (Autonomous),1,0,1
DCET - DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,3,0,3
Nri Institute Of Technology,1,0,1
Driems University,1,0,1
R.V.R. & J.C.College Of Engineering,1,0,1
Rishi Ubr Women'S Degree College,1,0,1
SMIC - ST MARYS INTEGRATED CAMPUS,1,0,1
"Rajiv Gandhi University Of Knowledge Technologies, Srikakulam",1,0,1
Iit Dharwad,1,0,1
"Acharya Narendra Dev College, University Of Delhi",1,0,1
Rishiurwomensdegreecollege,1,0,1
Srm University,1,0,1
"Dr.A.P.J. Abdul Kalam Technical University, Lucknow",1,0,1
Shri Vishnu Engineering College For Womens Women,1,0,1
SASTRA,1,0,1
AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN'S,1,1,0
"MGU, UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY",2,2,0
"I.K GUJRAL PUNJAB TECHNICAL UNIVERSITY, KAPURTHALA",1,1,0
GUARDIAN INDIA,1,0,1
CHANDIGARH COLLEGE OF ENGINEERING,5,2,3
VELLORE INSTITUTE OF TECHNOLOGY-AP,1,0,1
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMENS,12,5,7
VELLORE INSTITUTE OF TECHNOLOGY - AMRAVATI,1,0,1
SRIIT,1,1,0
SNIST- SREENIDHI INSTITUTE OF SCIENCE AND TEXHNOLOGY,1,0,1
NALLA MALLA REDDY ENGINEERING COLLEGE,1,0,1
KMCE- KESHAV MEMORIAL COLLEGE OF ENGINEERING,2,1,1
SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY,1,1,0
SRI Y N COLLEGE,1,1,0
RISHI UBR WOMEN'S DEGREE COLLEGE,1,0,1
SREE RAMACHANDRA DEGREE AND PG COLLEGE,1,0,1
MRU - MALLA REDDY UNIVERSITY,82,48,34
ROBERT BOSCH GLOBAL SOFTWARE,1,0,1
ST PETER'S ENGINEERING COLLEGE,4,2,2
TYNYBAY PRIVATE LIMITED,1,0,1
MLID- MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),1,0,1
OSMANIA UNIVERSITY,3,0,3
KOMMURI PRATAP REDDY INSTITUTE,1,0,1
CMR COLLEGE OF ENGINEERING AND TECHNOLOGY,2,1,1
VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY AUSHAPUR,1,0,1
KCEA - KSHATRIYA COLLEGE OF ENGINEERING,8,2,6
TKRC - T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),7,2,5
KSHATRIYA COLLEGE OF ENGINEERING,2,1,1
SAMSKRUTI COLLEGE OF ENGINEERING AND TECHNOLOGY,5,1,4
SRIDEVI WOMEN'S ENGINEERING COLLEGE,2,2,0
LFJC,1,0,1
RAGIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES BASAR,1,1,0
NREC - NALLA MALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),4,3,1
SRI INDU COLLEGE OF ENGINNERING AND TECHNOLOGY,1,0,1
CMRN - CMR ENGG COLLEGE (AUTONOMOUS),15,7,8
ST. MARTIN'S ENGINEERING COLLEGE,2,1,1
UNIVERSITY OF HYDERABAD,1,1,0
SCET - SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-BASAR,3,1,2
SNIST - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,3,3,0
GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),102,42,60
git,1,1,0
RVCE,1,1,0
ENGINEERING COLLEGE,1,0,1
UNIVERSITY OF BRIDEPORT,1,0,1
ST.PETERS ENGINEERING COLLEGE,2,2,0
VIEW- VIGNAN'S ISNTITUTE OF ENGINEERING FOR WOMEN,1,0,1
MLRITM,1,0,1
AUDI SANKAR COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
"SRI VENKATESWARA COLLEGE OF ENGINEERING, TIRUPATI",1,1,0
VARDHAMAN COLLEGE OF ENGINEERING,6,1,5
SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,5,2,3
VIGNAN,1,0,1
VIGNAN BHARATHI INSTITUTE OF TECHNOLOGY,1,0,1
VBIT - VIGNANA BHARATHI ENGINEERING COLLEGE,1,1,0
"NATIONAL INSTITUTE OF TECHNOLOGY, CALICUT",1,1,0
MIT ADT UNIVERSITY,1,0,1
BHAVAN'S VIVEKANANDA COLLEGE,1,0,1
INDIAN INSTITUE OF TECHNOLOGY KHARAGPUR,1,0,1
R.V.R&J.C COLLEGE OF ENGINEERING,2,1,1
VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,4,2,2
AURORA PG COLLEGE,1,1,0
